atraso,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,clasif_sbs,nivel_educ,vivienda_ALQUILADA,vivienda_FAMILIAR,vivienda_PROPIA
2,36,7492,32.40158319378901,12,1200.0,11987.241038228825,1862.32,170,0,2,False,True,False
0,28,4492,32.40158319378901,12,801.49,11987.241038228825,951.03,175,0,2,False,True,False
0,40,5847,22.0,0,750.0,547.47,0.0,203,0,2,False,True,False
2,32,6335,32.40158319378901,12,1980.0,11987.241038228825,12203.76,199,0,2,False,False,True
0,27,4570,13.0,12,1400.0,765.88,2523.65,174,0,3,False,True,False
0,27,5506,31.0,12,736.93,2238.58,0.0,169,0,2,False,True,False
13,50,5635,32.40158319378901,0,1160.0,11987.241038228825,0.0,186,1,3,False,True,False
0,40,4782,93.0,12,2500.0,8262.0,5134.2,197,0,3,False,True,False
2,45,4448,32.40158319378901,12,2100.0,4450.0,18010.11,229,0,3,False,False,True
0,49,10108,8.0,12,4400.0,207.96,1398.16,195,0,3,False,True,False
0,25,4083,32.40158319378901,12,1524.72,3690.0,5796.72,184,0,0,False,True,False
2,31,5117,32.40158319378901,12,1300.0,1900.0,4454.31,175,1,2,False,True,False
1,31,4843,10.0,12,1350.0,11987.241038228825,1770.29,175,0,2,False,True,False
2,41,4660,32.40158319378901,12,1200.0,11987.241038228825,2103.24,199,4,2,False,False,True
32,32,6548,66.0,12,1680.0,2544.2,0.0,209,2,3,False,True,False
0,40,4570,61.0,12,2900.0,5172.05,1685.48,216,0,3,False,False,True
2,32,4509,32.40158319378901,12,1324.67,11987.241038228825,2609.61,196,0,2,False,False,True
0,24,4570,44.0,12,5050.0,12510.24,390.01,209,0,2,False,False,True
33,40,9439,80.0,0,19500.0,19729.88,3055.31,230,2,3,False,False,True
0,44,9378,32.40158319378901,0,2000.0,2698.28,10326.06,204,0,3,False,False,True
0,28,4813,14.0,12,1800.0,2911.91,0.0,202,0,3,False,True,False
9,25,5148,23.0,4,2500.0,2681.32,260.23,206,0,3,False,True,False
0,29,4690,14.0,12,5600.0,251.77,340.72,214,0,3,False,True,False
0,35,4598,32.40158319378901,12,1400.0,11987.241038228825,7833.49,199,0,2,False,True,False
0,29,4964,48.0,12,6989.4,16399.64,0.0,193,1,3,False,True,False
9,27,3899,19.0,12,2224.3,14100.17,4005.58,200,2,3,False,True,False
0,31,5087,15.0,12,3100.0,515.88,196.58,201,0,3,False,True,False
2,51,4539,32.40158319378901,12,1200.0,2850.0,1042.89,188,1,3,False,True,False
0,52,4629,32.40158319378901,12,2800.0,3191.15,0.0,214,0,2,False,False,True
0,38,4264,9.0,7,1350.0,5505.04,389.15,185,0,3,False,True,False
0,41,5605,36.0,12,1787.0,7780.68,2560.06,204,0,2,False,False,True
0,33,6000,79.0,12,5200.0,3084.13,1078.39,225,0,3,False,False,True
0,40,6456,32.40158319378901,12,2100.0,2327.28,0.0,216,1,2,False,True,False
0,36,7431,32.40158319378901,12,2500.0,11987.241038228825,7574.82,187,0,2,False,True,False
8,37,3868,11.0,10,10500.0,86975.05,7484.61,216,1,3,False,True,False
0,60,5301,78.0,0,857.36,745.6,0.0,172,1,3,False,True,False
0,29,4233,32.40158319378901,12,1550.0,4148.18,0.0,177,0,2,False,True,False
18,37,4598,13.0,0,3200.0,14175.49,1907.22,196,1,3,False,True,False
0,29,4264,32.40158319378901,12,1362.9,11987.241038228825,434.6,196,3,2,False,False,True
0,37,3991,32.40158319378901,12,3249.43,11987.241038228825,7328.63,182,0,2,False,True,False
2,33,4086,32.40158319378901,12,2152.0,14018.38,6511.45,192,1,2,False,True,False
0,27,3352,12.0,12,1207.65,11987.241038228825,6508.35,169,0,2,False,True,False
0,34,3764,53.0,1,7055.0,30053.51,57094.38,175,1,2,True,False,False
0,38,4386,32.40158319378901,12,1182.36,2180.72,1733.79,177,3,2,False,True,False
0,28,6456,32.40158319378901,12,1500.0,6365.69,6276.19,177,1,2,False,True,False
0,23,3534,32.40158319378901,12,1017.03,750.0,579.23,173,0,2,False,False,True
0,23,3846,32.40158319378901,12,944.29,5598.05,258.87,156,0,2,False,True,False
8,29,4570,57.0,2,2111.0,7442.55,206.86,207,1,3,False,True,False
0,24,3840,32.40158319378901,12,2506.18,11987.241038228825,3419.02,181,0,3,False,True,False
0,46,6456,87.0,12,13500.0,19479.76,7942.84,228,4,2,False,False,True
32,32,4782,14.0,12,1200.0,11987.241038228825,0.0,194,2,2,False,False,True
0,23,3687,32.40158319378901,12,1244.27,692.36,1302.18,156,1,2,False,True,False
2,23,3840,11.0,12,2245.74,5104.86,18475.97,204,0,2,False,False,True
0,25,4436,32.40158319378901,12,1270.43,1200.0,2526.82,188,0,2,False,False,True
2,52,5482,32.40158319378901,12,2974.96,11987.241038228825,1984.65,199,0,2,False,False,True
0,34,8039,20.0,12,2200.0,276.36,23.5,216,0,3,False,True,False
2,29,5513,32.40158319378901,12,3000.0,11987.241038228825,2593.17,200,0,3,False,True,False
0,27,4904,21.0,12,2250.0,149.33,0.0,198,0,2,False,True,False
1,38,3779,32.40158319378901,12,2800.0,11987.241038228825,14918.71,213,0,2,False,False,True
2,22,4417,20.0,12,2917.91,11987.241038228825,0.0,177,0,2,False,True,False
0,41,5666,17.0,12,840.0,570.66,0.0,197,0,2,False,False,True
0,27,5817,28.0,0,2300.0,951.5,334.09,193,0,3,False,True,False
0,33,5056,64.0,0,2951.0,17380.46,2221.35,200,1,3,False,True,False
0,53,6243,7.0,7,3000.0,1500.0,1255.49,205,0,3,False,True,False
0,53,10870,32.40158319378901,4,4176.74,11987.241038228825,5814.14,178,0,3,False,True,False
0,31,5909,1.0,12,3500.0,10979.62,57094.38,211,1,2,False,False,True
0,38,4509,8.0,12,2639.35,5800.0,5.59,202,1,3,False,True,False
0,31,7461,11.0,12,7126.84,1000.0,205.25,192,0,0,False,True,False
0,37,5240,69.0,0,3000.0,5880.23,2436.61,201,0,3,False,True,False
0,44,7520,8.0,12,1210.0,5768.0,2331.1,181,0,3,False,True,False
0,55,4264,32.40158319378901,12,3000.0,11987.241038228825,4716.75,197,0,2,False,True,False
1,25,4445,32.40158319378901,12,1403.77,11987.241038228825,9554.04,169,0,2,False,True,False
2,32,4843,32.40158319378901,12,961.34,900.0,2108.34,175,1,2,False,True,False
0,52,4492,32.40158319378901,12,990.13,11987.241038228825,3800.62,192,0,2,False,False,True
0,32,5878,81.0,12,9000.0,4596.04,2980.08,225,0,3,False,True,False
0,54,7186,32.40158319378901,12,1800.0,11987.241038228825,3301.49,202,0,0,False,False,True
25,31,4325,13.0,12,1698.2,2285.0,0.0,180,1,3,False,True,False
